,2015,2016,2017,2018,2019
Algeria,100,100,100,100,100
Angola,50,66.6,66.6,66.6,66.6
Benin,50,50,50,25,50
Burkina Faso,14.29,14.29,14.29,14.29,14.29
Burundi,33.33,33.33,33.33,33.33,33.33
Cameroon,1.2,1.2,1.2,1.2,1.2
Cape Verde,100,100,100,100,100
Central African Republic,50,50,50,50,50
Chad,50,50,50,50,33.33
Comoros,100,100,100,100,100
Congo Democratic Republic,11.11,9.09,9.09,8.33,7.14
Cote d'Ivoire,75,75,75,75,75
Djibouti,50,50,50,50,50
Egypt,14.29,12.5,12.5,12.5,12.5
Eritrea,100,100,100,100,100
Eswatini,100,100,100,100,100
Ethiopia,100,100,100,100,100
Gabon,50,50,50,50,50
Gambia,100,100,100,100,100
Ghana,10,10,7.1,7.1,7.1
Guinea,,,,,
Guinea Bissau,50,22,24.5,39.3,54.2
Kenya,20,20,16.67,16.67,16.67
Lesotho,100,100,100,100,100
Liberia,14.28,12.5,12.5,12.5,12.5
Madagascar,50,50,50,50,50
Malawi,33.33,25,25,25,25
Mali,50,50,50,50,50
Mauritania,50,50,50,50,50
Mauritius,33.3,33.3,33.3,33.3,33.3
Morocco,100,100,100,100,100
Mozambique,100,100,100,100,100
Namibia,50,50,50,50,50
Niger,33.33,33.33,33.33,33.33,33.33
Nigeria,92.3,89.8,86.7,86.7,86.7
Rwanda,54.5,50,50,50,50
Sao Tome & Principe,100,100,100,100,100
Senegal,14.28,14.28,14.28,14.28,14.28
Sierra Leone,,,,,
Somalia,50,50,50,50,33.33
South Africa,80,33.3,33.3,33.3,33.3
South Sudan,100,100,100,100,100
Sudan,100,100,100,100,100
Tanzania,16.67,16.67,16.67,14.8,14.8
Togo,25,20,25,20,20
Tunisia,25,25,20,20,20
Uganda,100,100,100,100,94.2
Zambia,,,,,
Zimbabwe,100,100,100,100,100
